date,ID,mode,code,dprice,num,kprice,sum,cash
2011-01-03,inv01_000001,buy,glng,12.2,11095.0,12.2,135359.0,864641.0
2011-01-03,inv01_000002,buy,simo,3.98,17293.0,3.98,68826.14,795814.86
